image_idx,rgb_file,depth_file,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
344,1305031464.827759.png,1305031464.816195.png,1.641188,6.896193,3.167783,1.245235,0.055190,0.122789,0.209186
345,1305031464.859654.png,1305031464.848283.png,1.465282,5.675824,2.908993,1.116417,0.071011,0.161527,0.299741
346,1305031464.895817.png,1305031464.884177.png,1.325100,4.470310,2.624186,1.158702,0.071902,0.166744,0.297020
347,1305031464.927799.png,1305031464.916391.png,1.322378,4.436897,2.602137,1.138006,0.071184,0.163904,0.296044
348,1305031464.959763.png,1305031464.952471.png,1.349454,4.699432,2.657783,1.145793,0.085136,0.183548,0.315673
349,1305031464.995687.png,1305031464.984257.png,1.223976,3.925104,2.444710,1.095168,0.100942,0.221508,0.364812
350,1305031465.027823.png,1305031465.015390.png,1.330503,4.734531,2.662083,1.181941,0.103195,0.222270,0.345051
351,1305031465.059749.png,1305031465.048430.png,1.503204,6.136893,3.005513,1.307122,0.087315,0.201806,0.314623
352,1305031465.095700.png,1305031465.083338.png,1.064938,2.879695,2.126703,1.077293,0.109135,0.246309,0.386708
353,1305031465.127664.png,1305031465.115475.png,0.959801,2.095530,1.872177,1.177736,0.092826,0.198898,0.344540
354,1305031465.159842.png,1305031465.151558.png,0.801976,1.409651,1.593212,1.120072,0.118161,0.236193,0.392251
355,1305031465.195564.png,1305031465.183558.png,0.712973,1.104844,1.441985,1.108847,0.131294,0.292684,0.452580
356,1305031465.227907.png,1305031465.215832.png,0.646623,0.912395,1.319654,1.038193,0.155661,0.341331,0.513547
357,1305031465.259807.png,1305031465.251788.png,0.612608,0.825233,1.266776,1.149334,0.175138,0.365879,0.545188
358,1305031465.295623.png,1305031465.283737.png,0.561099,0.705993,1.183531,1.044068,0.201997,0.420079,0.598802
359,1305031465.327674.png,1305031465.315985.png,0.544816,0.665392,1.145186,1.071700,0.223491,0.436038,0.618003
360,1305031465.359948.png,1305031465.351729.png,0.565209,0.687723,1.144055,1.212680,0.216674,0.414095,0.604311
361,1305031465.395586.png,1305031465.383701.png,0.569642,0.687038,1.133053,1.268543,0.218632,0.417430,0.606230
362,1305031465.427697.png,1305031465.416543.png,0.569810,0.691501,1.145652,1.245385,0.219464,0.418130,0.599968
363,1305031465.460125.png,1305031465.452401.png,0.579988,0.727673,1.186640,1.348269,0.219874,0.412280,0.592823
364,1305031465.495703.png,1305031465.483803.png,0.577109,0.731740,1.198543,1.303506,0.225791,0.418800,0.593164
365,1305031465.527622.png,1305031465.516043.png,0.575705,0.722246,1.186961,1.283878,0.225816,0.420402,0.598243
366,1305031465.559812.png,1305031465.551838.png,0.583163,0.740051,1.201264,1.356616,0.223710,0.418685,0.591435
367,1305031465.595599.png,1305031465.583570.png,0.599767,0.785978,1.245249,1.385737,0.215193,0.407580,0.575172
368,1305031465.627688.png,1305031465.615685.png,0.602059,0.796145,1.262663,1.361577,0.210990,0.402945,0.574451
369,1305031465.660060.png,1305031465.651645.png,0.620667,0.849957,1.310641,1.493936,0.207892,0.392886,0.555521
370,1305031465.695668.png,1305031465.684759.png,0.629430,0.882942,1.346569,1.469933,0.210136,0.389802,0.541754
371,1305031465.727682.png,1305031465.716279.png,0.644428,0.928582,1.390866,1.501693,0.205333,0.380002,0.530525
372,1305031465.759766.png,1305031465.753153.png,0.654446,0.960186,1.422912,1.512904,0.203972,0.369556,0.516468
373,1305031465.795937.png,1305031465.784387.png,0.656203,0.979233,1.456401,1.556679,0.201799,0.370217,0.519380
374,1305031465.827996.png,1305031465.816591.png,0.664133,1.007033,1.480831,1.561856,0.203184,0.366652,0.515242
375,1305031465.859861.png,1305031465.852860.png,0.694628,1.095180,1.545063,1.621083,0.195582,0.353788,0.491536
376,1305031465.895494.png,1305031465.884370.png,0.701438,1.114016,1.562461,1.602543,0.192277,0.353477,0.487954
377,1305031465.927495.png,1305031465.912828.png,0.688811,1.068791,1.527987,1.582412,0.200765,0.363244,0.505714
378,1305031465.959710.png,1305031465.952840.png,0.697851,1.080817,1.527992,1.571624,0.205638,0.360747,0.496277
379,1305031465.995753.png,1305031465.984183.png,0.720589,1.124804,1.550955,1.614539,0.196792,0.346570,0.478360
380,1305031466.027644.png,1305031466.016599.png,0.724335,1.123966,1.545482,1.614093,0.201130,0.344270,0.474472
381,1305031466.059757.png,1305031466.052655.png,0.715456,1.088543,1.525071,1.576547,0.189764,0.341055,0.478687
382,1305031466.095840.png,1305031466.083913.png,0.719469,1.058699,1.489664,1.562982,0.168828,0.334801,0.485872
383,1305031466.127640.png,1305031466.116400.png,0.705660,0.996419,1.435918,1.483561,0.160752,0.336457,0.524459
384,1305031466.160428.png,1305031466.152540.png,0.679271,0.920626,1.396381,1.514183,0.139281,0.325961,0.559891
385,1305031466.195833.png,1305031466.184186.png,0.654799,0.862716,1.360618,1.531496,0.139691,0.341954,0.583954
386,1305031466.227951.png,1305031466.220477.png,0.618032,0.798341,1.318016,1.500924,0.148517,0.383374,0.599260
387,1305031466.259815.png,1305031466.252491.png,0.608828,0.772777,1.282261,1.425122,0.165949,0.402919,0.612883
388,1305031466.295737.png,1305031466.284389.png,0.579256,0.720344,1.244154,1.372017,0.188364,0.441488,0.630741
389,1305031466.327702.png,1305031466.320055.png,0.578176,0.713788,1.230866,1.345591,0.184503,0.438022,0.623678
390,1305031466.359829.png,1305031466.352082.png,0.569064,0.679967,1.177498,1.322922,0.207649,0.442486,0.628215
391,1305031466.395784.png,1305031466.384479.png,0.554269,0.627497,1.103977,1.209051,0.212050,0.455283,0.644503
392,1305031466.427819.png,1305031466.420844.png,0.562727,0.642943,1.104846,1.232475,0.204885,0.446214,0.634406
393,1305031466.459790.png,1305031466.452369.png,0.577464,0.689733,1.155910,1.249702,0.203339,0.437578,0.620621
394,1305031466.495809.png,1305031466.483315.png,0.569198,0.679930,1.147111,1.206833,0.213839,0.448092,0.631534
